method,dataset,noise_rate,acc_mean,acc_std,wall_s_avg,cpu_s_avg,gpu_s_avg,wait_s_avg
cp,amazon-ratings,0.1,0.3857,0.0079,279.25,0.05,278.90,803.99
cp,amazon-ratings,0.2,0.3906,0.0065,247.24,0.05,246.97,377.16
cp,amazon-ratings,0.3,0.3767,0.0100,274.32,0.05,273.98,300.95
cp,amazon-ratings,0.4,0.3705,0.0134,256.95,0.05,256.66,0.07
cp,amazon-ratings,0.5,0.3539,0.0216,263.86,0.05,263.56,4.82
cp,amazoncom,0.1,0.8175,0.0167,150.30,0.04,149.97,457.43
cp,amazoncom,0.2,0.7796,0.0324,136.63,0.04,136.34,334.74
cp,amazoncom,0.3,0.7527,0.0328,152.66,0.04,152.33,166.22
cp,amazoncom,0.4,0.6988,0.0504,139.06,0.04,138.76,1.67
cp,amazoncom,0.5,0.6383,0.0391,132.70,0.03,132.44,9.23
cp,amazonpho,0.1,0.8776,0.0259,66.86,0.02,66.65,103.75
cp,amazonpho,0.2,0.8512,0.0458,64.01,0.02,63.85,123.49
cp,amazonpho,0.3,0.8486,0.0419,73.63,0.02,73.42,63.85
cp,amazonpho,0.4,0.7835,0.0542,68.48,0.02,68.29,3.64
cp,amazonpho,0.5,0.6880,0.0894,71.34,0.02,71.10,10.62
cp,blogcatalog,0.1,0.7123,0.0095,54.70,0.05,54.37,117.32
cp,blogcatalog,0.2,0.6861,0.0163,50.43,0.05,50.11,66.21
cp,blogcatalog,0.3,0.6539,0.0270,55.21,0.05,54.87,69.92
cp,blogcatalog,0.4,0.6326,0.0301,49.39,0.05,49.08,7.54
cp,blogcatalog,0.5,0.5519,0.0570,52.71,0.05,52.37,1.57
cp,citeseer,0.1,0.6661,0.0238,26.64,0.02,26.46,30.24
cp,citeseer,0.2,0.6608,0.0283,30.34,0.03,30.10,49.16
cp,citeseer,0.3,0.6335,0.0294,26.74,0.02,26.57,22.81
cp,citeseer,0.4,0.5461,0.0234,29.32,0.03,29.09,19.22
cp,citeseer,0.5,0.4941,0.0258,27.10,0.02,26.93,0.18
cp,cora,0.1,0.7911,0.0198,24.40,0.01,24.21,35.03
cp,cora,0.2,0.7568,0.0173,21.60,0.01,21.47,16.80
cp,cora,0.3,0.7233,0.0290,24.80,0.01,24.61,19.99
cp,cora,0.4,0.6758,0.0540,21.62,0.01,21.49,0.00
cp,cora,0.5,0.5740,0.0486,24.98,0.01,24.79,0.00
cp,dblp,0.1,0.7627,0.0178,162.09,0.07,161.76,257.41
cp,dblp,0.2,0.7542,0.0173,173.17,0.05,172.82,169.78
cp,dblp,0.3,0.7384,0.0115,167.35,0.07,167.01,265.26
cp,dblp,0.4,0.7173,0.0246,181.41,0.07,181.03,1.20
cp,dblp,0.5,0.6359,0.0478,164.70,0.06,164.38,294.38
cp,flickr,0.1,0.5205,0.0142,72.04,0.09,71.45,148.34
cp,flickr,0.2,0.5032,0.0181,80.23,0.09,79.65,81.95
