dataset,noise_rate,lnpcc_mean,lnpcc_std
amazon-ratings,clean_0.0,0.401888,0.001752
amazon-ratings,pair_0.1,0.40123,0.002662
amazon-ratings,pair_0.2,0.399194,0.004006
amazon-ratings,pair_0.3,0.391518,0.006493
amazon-ratings,pair_0.4,0.388778,0.009223
amazon-ratings,pair_0.5,0.383287,0.011803
amazon-ratings,random_0.1,0.39902,0.002572
amazon-ratings,random_0.2,0.394616,0.004925
amazon-ratings,random_0.3,0.373585,0.016343
amazon-ratings,random_0.4,0.3622,0.029042
amazon-ratings,random_0.5,0.34147,0.033241
amazon-ratings,uniform_0.1,0.395989,0.005303
amazon-ratings,uniform_0.2,0.395795,0.003868
amazon-ratings,uniform_0.3,0.393718,0.004659
amazon-ratings,uniform_0.4,0.377336,0.009628
amazon-ratings,uniform_0.5,0.366491,0.013028
amazoncom,clean_0.0,0.8216,0.005389
amazoncom,pair_0.1,0.8056,0.017906
amazoncom,pair_0.2,0.7692,0.025392
amazoncom,pair_0.3,0.6655,0.047773
amazoncom,pair_0.4,0.4249,0.091987
amazoncom,pair_0.5,0.3771,0.06932
amazoncom,random_0.1,0.8044,0.012627
amazoncom,random_0.2,0.7681,0.048271
amazoncom,random_0.3,0.7446,0.020373
amazoncom,random_0.4,0.6993,0.035732
amazoncom,random_0.5,0.649,0.044113
amazoncom,uniform_0.1,0.8138,0.009389
amazoncom,uniform_0.2,0.7713,0.022321
amazoncom,uniform_0.3,0.742,0.031692
amazoncom,uniform_0.4,0.6898,0.090424
amazoncom,uniform_0.5,0.6247,0.077849
amazonpho,clean_0.0,0.9126,0.004341
amazonpho,pair_0.1,0.8773,0.025597
amazonpho,pair_0.2,0.8407,0.034173
amazonpho,pair_0.3,0.7827,0.05986
amazonpho,pair_0.4,0.6598,0.077427
amazonpho,pair_0.5,0.4339,0.172235
amazonpho,random_0.1,0.9014,0.013603
amazonpho,random_0.2,0.8749,0.02455
amazonpho,random_0.3,0.8506,0.03758
amazonpho,random_0.4,0.7966,0.044831
amazonpho,random_0.5,0.7218,0.060914
amazonpho,uniform_0.1,0.8902,0.016666
amazonpho,uniform_0.2,0.87,0.040249
amazonpho,uniform_0.3,0.8597,0.029554
amazonpho,uniform_0.4,0.8316,0.037524
amazonpho,uniform_0.5,0.7689,0.051531
blogcatalog,clean_0.0,0.748749,0.008275
blogcatalog,pair_0.1,0.727513,0.016147
blogcatalog,pair_0.2,0.708442,0.017045
blogcatalog,pair_0.3,0.649062,0.037744
blogcatalog,pair_0.4,0.528379,0.041981
blogcatalog,pair_0.5,0.396825,0.090416
blogcatalog,random_0.1,0.734295,0.011319
blogcatalog,random_0.2,0.718134,0.012614
blogcatalog,random_0.3,0.692472,0.020171
blogcatalog,random_0.4,0.659981,0.036123
blogcatalog,random_0.5,0.584031,0.037618
blogcatalog,uniform_0.1,0.732347,0.013136
blogcatalog,uniform_0.2,0.715296,0.011907
blogcatalog,uniform_0.3,0.703583,0.01848
blogcatalog,uniform_0.4,0.681121,0.029432
blogcatalog,uniform_0.5,0.611592,0.048629
citeseer,clean_0.0,0.7253,0.0089
citeseer,pair_0.1,0.6965,0.021087
citeseer,pair_0.2,0.664,0.031594
citeseer,pair_0.3,0.5661,0.054821
citeseer,pair_0.4,0.4936,0.076668
citeseer,pair_0.5,0.3634,0.044304
citeseer,random_0.1,0.716,0.015027
citeseer,random_0.2,0.6586,0.046674
citeseer,random_0.3,0.6362,0.049671
citeseer,random_0.4,0.5695,0.06463
citeseer,random_0.5,0.4373,0.053524
citeseer,uniform_0.1,0.7039,0.0137
citeseer,uniform_0.2,0.6793,0.023225
citeseer,uniform_0.3,0.6393,0.031913
citeseer,uniform_0.4,0.6056,0.04102
citeseer,uniform_0.5,0.5198,0.048443
cora,clean_0.0,0.8203,0.005061
cora,pair_0.1,0.7959,0.018365
cora,pair_0.2,0.6704,0.093645
cora,pair_0.3,0.6774,0.065497
cora,pair_0.4,0.596,0.066311
cora,pair_0.5,0.4549,0.079897
cora,random_0.1,0.7904,0.013298
cora,random_0.2,0.7578,0.019569
cora,random_0.3,0.7089,0.044545
cora,random_0.4,0.6501,0.046146
cora,random_0.5,0.547,0.049824
cora,uniform_0.1,0.8083,0.012705
cora,uniform_0.2,0.7854,0.016206
cora,uniform_0.3,0.7208,0.033138
cora,uniform_0.4,0.6337,0.060467
cora,uniform_0.5,0.5796,0.093798
dblp,clean_0.0,0.787092,0.00412
dblp,pair_0.1,0.767834,0.013682
dblp,pair_0.2,0.730507,0.018892
dblp,pair_0.3,0.700047,0.019861
dblp,pair_0.4,0.619702,0.087618
dblp,pair_0.5,0.452298,0.043091
dblp,random_0.1,0.763069,0.019189
dblp,random_0.2,0.748219,0.017986
dblp,random_0.3,0.698932,0.025078
dblp,random_0.4,0.652936,0.028726
dblp,random_0.5,0.61397,0.030947
dblp,uniform_0.1,0.762518,0.013157
dblp,uniform_0.2,0.737475,0.028652
dblp,uniform_0.3,0.688241,0.026959
dblp,uniform_0.4,0.669399,0.047165
dblp,uniform_0.5,0.627456,0.057653
flickr,clean_0.0,0.597492,0.007861
flickr,pair_0.1,0.569477,0.009086
flickr,pair_0.2,0.541132,0.011566
flickr,pair_0.3,0.480729,0.014587
flickr,pair_0.4,0.403019,0.024335
flickr,pair_0.5,0.31051,0.024571
flickr,random_0.1,0.574658,0.010711
flickr,random_0.2,0.538706,0.010966
flickr,random_0.3,0.513777,0.017402
flickr,random_0.4,0.468421,0.023934
flickr,random_0.5,0.422257,0.019435
flickr,uniform_0.1,0.566012,0.009404
flickr,uniform_0.2,0.546411,0.01664
flickr,uniform_0.3,0.517142,0.020041
flickr,uniform_0.4,0.478634,0.017563
flickr,uniform_0.5,0.43506,0.02702
pubmed,clean_0.0,0.7899,0.005974
pubmed,pair_0.1,0.7587,0.019406
pubmed,pair_0.2,0.7156,0.020655
pubmed,pair_0.3,0.6374,0.083597
